Timestamp,CPU_Usage_Pct,LoadAvg_1m,LoadAvg_5m,LoadAvg_15m,Proc_Total,Proc_Running,Proc_Sleeping,Mem_Total_MB,Mem_Used_MB,Mem_Avail_MB,Mem_Usage_Pct,Disk_Total_GB,Disk_Used_GB,Disk_Free_GB,Disk_Usage_Pct,Uptime_Sec,TopCPU_1,TopCPU_2,TopCPU_3,TopMem_1,TopMem_2,TopMem_3
2026-02-02 18:15:08,0.30,0.71,0.49,0.50,341,0,198,9524.02,1923.03,7600.98,20.20,31.28,6.37,23.30,21.50,893.48,gnome-shell(2392):3.2%,gnome-terminal-server(3451):3.2%,python(5130):3.2%,Isolated Web Co(4312):6.69%,firefox(3507):5.12%,gnome-shell(2392):4.00%
2026-02-02 18:15:24,0.00,0.55,0.47,0.49,340,0,198,9524.02,1944.85,7579.16,20.40,31.28,6.37,23.30,21.50,909.82,Privileged Cont(3789):3.2%,systemd(1):0.0%,kthreadd(2):0.0%,Isolated Web Co(4312):6.68%,firefox(3507):5.16%,gnome-shell(2392):4.00%
2026-02-02 18:15:41,4.30,0.82,0.53,0.52,340,1,197,9524.02,1946.38,7577.64,20.40,31.28,6.37,23.30,21.50,926.16,gnome-shell(2392):100.3%,firefox(3507):93.7%,Isolated Web Co(4312):64.7%,Isolated Web Co(4312):7.05%,firefox(3507):5.16%,gnome-shell(2392):4.00%
2026-02-02 18:15:57,0.50,0.85,0.56,0.52,340,0,198,9524.02,1875.37,7648.65,19.70,31.28,6.37,23.30,21.50,942.49,firefox(3507):3.2%,python(5130):3.2%,systemd(1):0.0%,Isolated Web Co(4312):6.11%,firefox(3507):5.16%,gnome-shell(2392):4.00%
2026-02-02 18:16:13,0.30,0.66,0.53,0.51,340,0,198,9524.02,1878.53,7645.48,19.70,31.28,6.37,23.30,21.50,958.83,gnome-shell(2392):9.6%,python(5130):6.4%,systemd(1):0.0%,Isolated Web Co(4312):6.17%,firefox(3507):5.16%,gnome-shell(2392):4.00%
2026-02-02 18:16:30,0.10,0.51,0.50,0.51,340,0,198,9524.02,1875.31,7648.71,19.70,31.28,6.37,23.30,21.50,975.17,Isolated Web Co(4312):3.2%,python(5130):3.2%,systemd(1):0.0%,Isolated Web Co(4312):6.15%,firefox(3507):5.16%,gnome-shell(2392):4.00%
2026-02-02 18:21:21,0.10,0.06,0.32,0.43,337,0,198,9524.02,1869.38,7654.63,19.60,31.28,6.37,23.30,21.50,1266.28,kworker/4:0-events(46):3.3%,python(5227):3.2%,systemd(1):0.0%,Isolated Web Co(4312):6.15%,firefox(3507):5.14%,gnome-shell(2392):4.00%
2026-02-02 18:21:37,0.00,0.12,0.32,0.43,336,0,198,9524.02,1868.92,7655.10,19.60,31.28,6.37,23.30,21.50,1282.62,systemd(1):0.0%,kthreadd(2):0.0%,pool_workqueue_release(3):0.0%,Isolated Web Co(4312):6.13%,firefox(3507):5.14%,gnome-shell(2392):4.00%
2026-02-02 18:21:53,0.00,0.09,0.31,0.42,336,0,198,9524.02,1869.39,7654.62,19.60,31.28,6.37,23.30,21.50,1298.96,firefox(3507):3.2%,Privileged Cont(3789):3.2%,python(5227):3.2%,Isolated Web Co(4312):6.13%,firefox(3507):5.14%,gnome-shell(2392):4.00%
2026-02-02 18:22:10,0.60,0.07,0.29,0.42,336,0,198,9524.02,1869.86,7654.15,19.60,31.28,6.37,23.30,21.50,1315.31,systemd(1):0.0%,kthreadd(2):0.0%,pool_workqueue_release(3):0.0%,Isolated Web Co(4312):6.14%,firefox(3507):5.14%,gnome-shell(2392):4.00%
2026-02-02 18:22:26,0.20,0.05,0.27,0.41,335,0,198,9524.02,1870.21,7653.81,19.60,31.28,6.37,23.30,21.50,1331.67,python(5227):3.2%,systemd(1):0.0%,kthreadd(2):0.0%,Isolated Web Co(4312):6.14%,firefox(3507):5.14%,gnome-shell(2392):4.00%
2026-02-02 18:22:43,0.10,0.11,0.27,0.40,335,0,198,9524.02,1870.15,7653.87,19.60,31.28,6.37,23.30,21.50,1348.04,rcu_preempt(18):3.3%,python(5227):3.2%,systemd(1):0.0%,Isolated Web Co(4312):6.14%,firefox(3507):5.14%,gnome-shell(2392):4.00%
2026-02-02 18:26:58,0.50,0.33,0.23,0.35,334,0,198,9524.02,1941.18,7582.84,20.40,31.28,6.37,23.30,21.50,1603.76,gnome-shell(2392):32.3%,gnome-terminal-server(3451):6.4%,firefox(3507):6.4%,Isolated Web Co(4312):6.90%,firefox(3507):5.20%,gnome-shell(2392):4.00%
2026-02-02 18:27:15,0.30,0.26,0.22,0.34,334,0,198,9524.02,1931.82,7592.20,20.30,31.28,6.37,23.30,21.50,1620.10,firefox(3507):3.2%,python(5304):3.2%,systemd(1):0.0%,Isolated Web Co(4312):6.83%,firefox(3507):5.20%,gnome-shell(2392):4.00%
